Date,Volume,Name
2020-11-09,45.3654,GOOG
2020-11-06,33.2245,GOOG
2020-11-05,41.31624,GOOG
2020-11-04,71.41854,GOOG
2020-11-03,33.23306,GOOG
2020-11-02,50.70892,GOOG
2020-10-30,86.61724,GOOG
2020-10-29,40.06128,GOOG
2020-10-28,36.67918,GOOG
2020-10-27,24.58004,GOOG
2020-10-26,37.06508,GOOG
2020-10-23,27.51688,GOOG
2020-10-22,28.68084,GOOG
2020-10-21,51.3669,GOOG
2020-10-20,44.85144,GOOG
2020-10-19,32.1415,GOOG
2020-10-16,28.70274,GOOG
2020-10-15,30.81634,GOOG
2020-10-14,38.6198,GOOG
2020-10-13,32.02086,GOOG
2020-10-12,49.6512,GOOG
2020-10-09,28.71084,GOOG
2020-10-08,23.75662,GOOG
2020-10-07,34.92312,GOOG
2020-10-06,24.90846,GOOG
2020-10-05,22.26514,GOOG
2020-10-02,25.68142,GOOG
2020-10-01,35.58994,GOOG
2020-09-30,34.03216,GOOG
2020-09-29,19.58204,GOOG
2020-09-28,40.15882,GOOG
2020-09-25,26.4675,GOOG
2020-09-24,29.00432,GOOG
2020-09-23,33.147,GOOG
2020-09-22,31.66402,GOOG
2020-09-21,57.77654,GOOG
2020-09-18,62.07764,GOOG
2020-09-17,37.59502,GOOG
2020-09-16,26.24598,GOOG
2020-09-15,26.62164,GOOG
2020-09-14,33.93178,GOOG
2020-09-11,31.94174,GOOG
2020-09-10,32.37114,GOOG
2020-09-09,35.49408,GOOG
2020-09-08,52.21768,GOOG
2020-09-04,52.17136,GOOG
2020-09-03,62.15526,GOOG
2020-09-02,50.2236,GOOG
2020-09-01,36.5331,GOOG
2020-08-31,36.46812,GOOG
2020-08-28,29.99564,GOOG
2020-08-27,37.23204,GOOG
2020-08-26,71.62144,GOOG
2020-08-25,42.64168,GOOG
2020-08-24,28.20458,GOOG
2020-08-21,28.92906,GOOG
2020-08-20,34.13754,GOOG
2020-08-19,33.21222,GOOG
2020-08-18,40.54172,GOOG
2020-08-17,27.572,GOOG
2020-08-14,27.104,GOOG
2020-08-13,29.10416,GOOG
2020-08-12,28.7531,GOOG
2020-08-11,29.0873,GOOG
2020-08-10,25.7906,GOOG
2020-08-07,31.55652,GOOG
2020-08-06,39.90736,GOOG
2020-08-05,39.59914,GOOG
2020-08-04,38.06978,GOOG
2020-08-03,46.63028,GOOG
2020-07-31,68.58072,GOOG
2020-07-30,33.42792,GOOG
2020-07-29,22.13068,GOOG
2020-07-28,34.04348,GOOG
2020-07-27,24.9196,GOOG
2020-07-24,30.88808,GOOG
2020-07-23,32.55268,GOOG
2020-07-22,18.6397,GOOG
2020-07-21,24.3729,GOOG
2020-07-20,31.14504,GOOG
2020-07-17,29.1402,GOOG
2020-07-16,30.3869,GOOG
2020-07-15,32.21368,GOOG
2020-07-14,31.70032,GOOG
2020-07-13,36.92848,GOOG
2020-07-10,37.13408,GOOG
2020-07-09,28.46644,GOOG
2020-07-08,24.99316,GOOG
2020-07-07,29.16344,GOOG
2020-07-06,31.27994,GOOG
2020-07-02,37.1896,GOOG
2020-07-01,35.50334,GOOG
2020-06-30,40.84762,GOOG
2020-06-29,36.2036,GOOG
2020-06-26,85.35396,GOOG
2020-06-25,24.60948,GOOG
2020-06-24,35.12044,GOOG
2020-06-23,28.59528,GOOG
2020-06-22,30.8488,GOOG
2020-06-19,63.1575,GOOG
2020-06-18,31.63832,GOOG
2020-06-17,30.9923,GOOG
2020-06-16,34.23228,GOOG
2020-06-15,30.12192,GOOG
2020-06-12,38.92734,GOOG
2020-06-11,39.82664,GOOG
2020-06-10,30.50306,GOOG
2020-06-09,28.18498,GOOG
2020-06-08,28.08356,GOOG
2020-06-05,34.70488,GOOG
